respondent_id,age,gender,province,sector,education,urban_rural,monthly_income_rwf
1,40,Female,Southern,Agriculture,Primary,Urban,92286
2,33,Female,Kigali,Agriculture,Primary,Rural,138570
3,42,Male,Kigali,Agriculture,Secondary,Urban,241330
4,53,Male,Eastern,Agriculture,Tertiary,Urban,315815
5,32,Male,Western,Agriculture,Primary,Urban,142970
6,32,Male,Kigali,Other,Secondary,Urban,142649
7,53,Female,Kigali,Agriculture,Primary,Rural,133592
8,44,Female,Southern,Agriculture,Primary,Rural,40533
9,29,Male,Northern,Agriculture,Secondary,Urban,67903
10,41,Male,Western,Other,No Education,Rural,103713
11,29,Female,Kigali,Services,Secondary,Rural,176883
12,29,Female,Northern,Agriculture,Primary,Rural,20164
13,37,Male,Kigali,Trade,Secondary,Rural,184698
14,18,Female,Kigali,Agriculture,No Education,Rural,146537
15,18,Female,Southern,Agriculture,Tertiary,Urban,173716
16,28,Male,Northern,Agriculture,Primary,Rural,580554
17,22,Male,Southern,Agriculture,Tertiary,Rural,82313
18,38,Female,Eastern,Agriculture,Secondary,Rural,76906
19,24,Female,Eastern,Manufacturing,Tertiary,Rural,181353
20,18,Female,Eastern,Agriculture,Secondary,Rural,96593
21,52,Male,Western,Services,Secondary,Urban,153901
22,32,Male,Kigali,Agriculture,Primary,Urban,36646
23,35,Female,Kigali,Agriculture,Primary,Urban,72932
24,18,Female,Eastern,Services,Primary,Rural,120515
25,28,Male,Northern,Other,Primary,Rural,290154
26,36,Female,Kigali,Agriculture,Tertiary,Rural,827726
27,21,Female,Western,Manufacturing,No Education,Rural,402258
28,39,Female,Kigali,Agriculture,Secondary,Rural,55211
29,27,Female,Western,Agriculture,Secondary,Rural,58839
30,31,Female,Kigali,Agriculture,Secondary,Rural,90378
31,27,Male,Southern,Agriculture,Secondary,Urban,556394
32,57,Female,Western,Agriculture,Primary,Rural,76101
33,34,Male,Kigali,Agriculture,Secondary,Rural,35497
34,22,Female,Western,Trade,Primary,Urban,94535
35,44,Male,Eastern,Agriculture,Tertiary,Urban,338626
36,20,Female,Western,Services,Secondary,Rural,267436
37,37,Male,Southern,Agriculture,Tertiary,Urban,157445
38,18,Male,Eastern,Services,No Education,Rural,204649
39,19,Male,Kigali,Services,Primary,Urban,27486
40,37,Male,Eastern,Agriculture,Primary,Rural,94393
41,43,Female,Kigali,Agriculture,No Education,Rural,157220
42,37,Female,Kigali,Manufacturing,Primary,Rural,78080
43,33,Female,Kigali,Trade,Secondary,Rural,65728
44,31,Male,Eastern,Agriculture,Primary,Rural,19516
45,18,Male,Southern,Agriculture,Secondary,Rural,366274
46,26,Male,Kigali,Trade,Tertiary,Rural,99873
47,29,Male,Kigali,Agriculture,Secondary,Rural,124499
48,47,Female,Northern,Services,Primary,Urban,274616
49,39,Male,Kigali,Agriculture,Primary,Rural,291216
50,18,Male,Kigali,Agriculture,Secondary,Rural,90771
51,38,Male,Kigali,Services,Primary,Urban,110023
52,30,Male,Western,Services,Secondary,Urban,229924
53,26,Female,Southern,Agriculture,Primary,Urban,315462
54,42,Female,Eastern,Services,Tertiary,Rural,186087
55,47,Male,Southern,Trade,Secondary,Rural,59782
56,46,Male,Northern,Services,Secondary,Urban,58363
57,24,Male,Southern,Agriculture,Primary,Rural,32699
58,31,Male,Southern,Services,Primary,Rural,260184
59,38,Male,Northern,Manufacturing,Secondary,Urban,180719
60,46,Female,Kigali,Trade,Secondary,Rural,78932
61,29,Female,Kigali,Services,Primary,Rural,73486
62,32,Female,Eastern,Agriculture,Primary,Rural,92985
63,21,Male,Western,Manufacturing,Primary,Urban,163175
64,20,Male,Northern,Manufacturing,Secondary,Urban,187717
65,44,Female,Southern,Agriculture,Primary,Urban,332365
66,51,Female,Western,Services,Secondary,Rural,527075
67,34,Female,Kigali,Agriculture,Secondary,Rural,28316
68,47,Male,Southern,Manufacturing,Secondary,Rural,233493
69,39,Female,Southern,Agriculture,Tertiary,Urban,99261
70,27,Male,Western,Services,Tertiary,Urban,227264
71,39,Female,Western,Other,Secondary,Rural,164355
72,53,Female,Southern,Trade,No Education,Rural,83268
73,34,Female,Kigali,Other,Primary,Rural,130571
74,53,Male,Southern,Other,Secondary,Rural,219858
75,18,Female,Kigali,Agriculture,Secondary,Urban,168931
76,44,Male,Southern,Services,Secondary,Urban,119322
77,36,Male,Western,Services,Primary,Urban,102399
78,31,Male,Eastern,Trade,Secondary,Urban,52731
79,36,Female,Northern,Agriculture,Primary,Urban,57033
80,18,Male,Eastern,Other,Secondary,Urban,801614
